provincia,municipio,estacion,magnitud,contaminante,punto_muestreo,nombre_estacion,ano,mes,dia,hora,valor,validacion,fecha,dia_semana,es_fin_semana
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,11,12,V,2026-05-07 11:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,12,27,V,2026-05-07 12:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,12,78,V,2026-05-07 12:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,12,7,V,2026-05-07 12:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,12,17,V,2026-05-07 12:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,13,0,N,2026-05-07 13:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,14,0,N,2026-05-07 14:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,15,0,N,2026-05-07 15:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,16,7,NO,28079016_7_8,Arturo Soria,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,16,8,NO2,28079016_8_8,Arturo Soria,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,16,12,NOx,28079016_12_8,Arturo Soria,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,16,14,O3,28079016_14_6,Arturo Soria,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
